amount,hour,location_mismatch,txn_frequency,card_type,merchant_category,is_fraud
46.93,22,0,5,1,2,0
301.01,3,0,12,1,2,0
131.67,17,0,4,1,3,0
91.29,4,1,15,1,0,0
16.96,15,0,6,1,2,1
16.96,13,0,5,1,3,0
5.98,18,0,11,1,3,0
201.12,13,0,14,0,2,0
91.91,8,0,11,0,0,0
123.13,5,0,9,0,0,0
2.08,16,0,10,0,1,0
350.36,18,0,6,1,1,0
178.64,11,0,11,0,0,0
23.87,3,0,9,1,1,1
20.07,15,0,5,1,1,0
20.26,10,1,10,1,2,0
36.28,21,0,14,1,0,0
74.39,3,0,6,1,2,0
56.55,16,0,4,0,2,0
34.42,7,1,10,0,3,0
94.64,13,0,11,0,0,0
15.02,1,0,16,1,2,0
34.55,10,0,7,0,1,0
45.63,10,0,18,0,3,0
60.89,23,0,7,1,1,0
153.79,21,0,15,1,3,0
22.27,23,0,19,0,1,0
72.2,5,0,18,1,1,0
89.75,20,0,15,1,1,0
4.76,20,0,18,0,2,0
93.53,13,0,3,0,0,0
18.7,9,0,1,1,3,0
6.73,7,0,1,1,2,0
297.37,6,0,7,0,3,0
337.06,7,0,10,0,2,0
165.23,7,0,12,0,3,0
36.33,22,0,8,1,3,0
10.28,1,0,17,0,1,0
115.28,15,0,14,0,3,0
58.01,8,0,17,0,3,0
13.02,12,0,6,1,1,0
68.35,22,1,17,1,2,0
3.5,11,1,8,0,2,1
240.04,21,0,13,1,0,0
29.95,16,0,16,0,0,0
108.63,1,0,12,0,0,0
37.35,12,0,17,0,0,0
73.41,0,0,18,1,3,0
79.12,18,0,8,0,3,0
20.44,10,1,18,1,0,0
349.28,4,1,11,1,1,1
149.22,0,0,13,0,0,0
280.51,19,0,12,1,2,0
225.22,12,0,15,0,3,0
91.11,7,0,3,0,1,0
254.94,5,0,3,0,2,0
9.27,16,0,6,0,1,0
21.81,11,0,3,1,1,0
4.63,0,1,9,0,0,0
39.35,2,0,11,0,2,0
49.21,13,0,8,0,0,0
31.66,7,0,4,0,2,0
176.46,10,0,15,1,3,0
44.12,13,1,5,1,2,1
32.98,7,0,7,0,3,0
78.24,2,0,8,1,3,0
15.19,6,0,7,0,0,0
162.05,18,0,8,0,3,1
7.75,3,1,4,0,0,0
433.41,15,0,1,1,1,0
147.95,12,0,5,0,1,0
22.15,19,0,11,1,1,0
0.55,18,0,4,1,2,0
168.99,4,0,2,0,3,0
122.71,22,0,17,1,0,0
130.57,4,0,12,0,1,0
147.52,19,1,2,1,0,1
7.69,23,0,9,1,1,0
44.39,3,0,6,1,3,0
12.32,1,1,6,1,1,0
198.85,12,0,18,0,0,0
97.63,15,0,3,0,1,0
40.18,21,0,15,0,0,0
6.57,1,0,7,0,1,0
37.25,18,0,13,0,0,0
39.33,16,0,10,0,1,0
130.79,4,0,4,0,3,0
101.49,17,0,16,1,1,0
218.23,22,0,9,1,2,0
63.91,20,0,10,0,0,0
12.74,17,0,19,0,1,0
124.91,7,0,17,1,2,0
143.04,14,0,1,1,0,0
82.39,12,0,13,0,1,0
147.39,12,0,4,0,1,0
68.08,15,0,15,1,3,0
73.97,21,1,10,1,1,1
55.78,19,0,9,1,0,0
2.57,12,0,8,1,2,0
11.42,19,0,6,1,1,0
3.19,1,0,10,0,2,1
101.17,2,0,17,1,0,0
37.74,14,1,5,0,0,0
71.04,22,1,14,1,1,0
238.13,18,0,17,0,3,1
28.67,12,0,11,0,1,0
52.83,4,0,4,0,3,0
140.87,21,0,17,0,1,0
25.98,5,0,2,0,2,0
8.01,13,1,1,1,3,0
34.21,3,1,18,0,3,0
17.58,21,1,7,1,2,0
265.5,18,0,6,0,1,0
165.09,22,0,6,1,0,0
100.35,6,0,14,0,0,0
205.15,3,0,12,0,1,0
162.8,1,0,14,1,2,0
20.65,6,0,14,1,0,0
223.08,2,0,12,1,2,0
77.51,14,0,9,1,1,0
164.73,0,0,9,1,2,0
226.42,1,0,2,0,2,0
38.27,9,0,18,0,2,0
11.66,15,0,5,0,0,0
25.87,14,0,12,1,2,0
55.71,23,0,14,0,3,0
170.38,14,0,13,1,2,0
197.13,13,0,3,0,2,0
0.7,21,0,15,1,1,0
71.49,13,0,15,1,2,1
54.03,5,1,3,0,2,0
25.12,13,1,19,1,0,1
12.77,16,0,15,0,3,0
41.19,17,0,19,0,1,0
286.31,19,0,8,1,3,0
39.04,18,0,13,0,2,0
73.15,16,0,10,1,0,0
121.41,15,1,2,1,3,0
45.2,7,0,11,0,3,0
356.78,6,1,19,1,3,0
328.2,19,0,9,1,3,0
29.01,11,0,9,0,3,0
68.77,8,0,6,1,0,0
35.79,13,0,10,1,2,0
33.52,19,0,8,1,0,0
3.76,0,0,15,1,0,0
94.05,9,0,6,0,0,0
69.85,16,0,7,0,0,0
5.29,16,0,17,0,2,0
32.66,16,0,4,0,2,0
238.89,3,0,8,0,0,0
27.39,16,0,13,0,3,0
15.65,17,0,14,1,2,0
67.23,19,1,18,1,2,0
424.4,22,0,17,1,0,0
27.71,1,0,18,1,3,1
111.52,7,0,14,1,3,0
143.39,12,1,11,0,0,0
27.13,22,0,10,0,0,0
130.27,21,0,13,1,2,0
45.85,19,0,16,0,2,0
100.05,21,0,14,0,1,0
100.38,14,0,3,0,1,0
76.74,19,0,18,0,0,0
9.46,22,0,6,0,1,0
180.36,8,0,3,1,3,0
38.68,2,1,19,1,3,0
20.64,2,1,3,0,3,0
4.16,1,0,12,0,2,0
89.38,0,0,8,0,1,0
113.19,13,0,5,1,1,0
1.67,16,0,17,0,0,0
71.76,12,0,10,0,2,0
25.68,18,1,17,0,2,0
103.61,22,0,9,0,2,0
19.16,14,0,13,1,3,0
117.42,13,0,10,1,2,0
48.9,1,0,8,0,1,0
276.03,6,0,7,1,0,0
14.79,16,0,2,0,1,0
41.71,17,0,2,1,2,0
12.04,5,0,4,0,0,0
258.62,20,0,9,1,3,0
209.83,7,0,14,0,0,0
29.83,1,1,11,0,2,0
107.88,0,1,7,0,2,1
169.95,15,0,19,0,0,0
81.01,6,0,4,1,2,0
75.43,21,1,2,1,2,0
27.69,23,0,19,1,2,0
9.77,10,0,18,1,2,1
227.51,14,0,7,0,0,0
230.68,12,0,11,1,0,0
100.27,23,0,10,1,1,0
41.4,1,0,11,1,3,1
42.96,13,1,9,1,3,0
129.45,23,0,3,0,1,0
227.41,5,0,5,0,0,0
218.11,8,0,1,1,1,0
151.36,6,0,1,1,2,0
102.73,17,1,5,0,2,0
8.79,23,1,19,0,3,0
17.63,8,0,6,1,0,0
228.82,22,1,3,1,3,0
93.25,3,0,13,1,1,0
0.92,8,0,17,1,3,0
10.7,3,0,3,0,3,0
108.92,11,0,3,0,2,0
0.51,3,1,13,0,3,0
17.53,23,0,2,0,1,0
79.57,19,0,3,0,0,0
117.73,13,0,16,0,3,0
105.54,23,0,12,1,0,0
25.39,23,0,9,0,1,0
124.54,6,0,16,1,3,0
27.08,12,0,4,0,0,1
39.36,21,0,18,1,2,0
137.24,7,0,1,0,2,0
104.88,22,0,7,0,1,0
189.2,4,0,12,1,3,0
107.18,11,0,8,1,1,0
84.0,12,0,8,1,0,0
9.84,19,0,9,1,0,0
45.84,13,0,14,0,1,0
30.82,17,0,5,0,0,0
27.97,23,0,2,0,1,0
361.23,19,0,10,0,1,0
49.94,3,0,9,0,2,0
222.61,20,0,7,1,0,0
99.73,17,0,18,0,1,0
158.38,6,0,12,0,2,0
69.84,14,0,11,1,1,0
86.02,20,0,10,0,0,0
67.83,5,0,13,1,2,0
21.72,15,0,9,0,0,0
128.18,19,1,16,0,3,0
32.96,23,1,17,0,3,0
2.46,7,1,5,1,3,0
103.7,20,0,6,1,3,0
19.49,15,0,10,1,2,0
282.11,21,0,11,0,0,0
307.76,15,0,2,1,1,0
246.35,2,0,7,0,1,0
46.23,16,0,14,0,1,0
1.56,8,0,4,1,0,0
263.55,2,0,5,1,2,0
55.89,19,1,19,1,0,0
340.08,6,0,10,0,3,0
331.37,17,0,6,1,1,0
191.74,11,1,2,0,0,0
34.88,18,0,3,0,3,0
48.63,15,1,15,1,3,0
190.47,21,0,10,0,2,0
38.11,23,0,17,1,1,0
18.57,16,0,7,0,0,0
81.37,19,0,2,0,3,0
275.13,14,0,7,0,3,0
119.08,0,0,15,1,1,1
84.41,1,0,3,0,0,0
10.22,7,0,5,0,0,0
95.45,21,0,8,0,1,0
461.06,1,0,4,1,3,0
15.09,18,0,18,0,2,0
73.05,8,0,19,0,1,0
209.86,8,0,8,1,3,0
135.0,12,0,6,0,2,0
119.41,5,0,5,1,1,0
121.23,14,1,5,1,1,0
44.55,18,0,17,1,3,0
34.76,20,1,6,0,1,0
165.74,14,0,13,0,0,0
166.13,17,0,9,0,0,0
201.8,6,0,12,0,2,0
244.46,10,0,10,0,1,0
71.61,7,0,1,0,0,0
69.62,5,0,11,1,3,0
160.09,7,0,6,1,3,0
104.97,1,0,3,1,3,0
121.06,18,0,6,0,0,0
158.86,15,0,9,1,1,0
220.73,6,0,8,1,1,0
41.25,9,0,15,0,1,0
47.09,11,1,6,0,2,1
9.87,16,0,11,1,1,0
86.34,6,0,10,1,0,0
3.66,21,0,11,0,0,0
62.66,7,0,4,1,1,0
78.23,6,0,13,1,3,0
33.76,3,0,8,0,2,0
89.36,2,0,15,1,2,0
3.1,18,0,7,0,0,0
3.81,14,0,1,0,2,0
172.94,3,0,9,1,3,0
44.66,8,0,8,1,1,0
13.59,12,1,2,0,2,0
73.87,17,1,14,0,2,0
146.96,20,0,12,1,0,0
24.31,15,0,17,0,3,0
97.52,0,0,19,1,0,1
8.92,3,0,6,1,0,0
5.31,17,0,5,0,2,0
75.79,7,1,6,1,0,1
77.79,19,0,3,1,0,0
101.45,15,0,16,0,2,0
129.5,20,1,18,1,2,1
372.36,10,0,14,0,2,0
72.63,19,1,15,0,1,1
39.0,20,0,4,1,3,0
158.57,20,1,11,0,1,0
31.59,20,0,5,0,2,0
57.8,18,0,9,1,3,0
8.17,22,0,5,1,0,0
2.57,18,0,7,1,3,0
328.74,17,0,18,1,2,0
180.78,18,1,18,0,1,1
119.06,10,0,2,0,3,0
52.59,2,0,13,0,0,0
19.03,7,0,13,1,1,0
17.01,19,0,17,0,1,0
28.8,18,0,17,1,1,0
79.68,9,0,6,1,1,0
125.38,15,1,14,1,0,0
107.94,4,0,14,0,2,0
32.84,19,0,12,0,0,0
309.81,8,0,5,1,2,0
133.9,7,0,5,1,2,0
80.82,10,0,4,1,3,0
94.6,15,0,13,1,0,0
54.4,6,0,4,0,2,0
28.47,14,0,18,0,0,1
44.0,23,0,16,1,0,0
141.82,20,0,18,0,2,1
1.45,19,0,2,1,2,0
12.34,22,0,4,1,1,0
4.71,16,1,17,1,3,1
4.16,5,0,6,1,2,0
193.42,14,0,18,0,2,1
121.62,7,0,7,1,2,0
64.28,6,0,13,0,3,0
10.3,1,0,9,1,0,0
67.65,12,0,2,1,1,0
64.15,22,0,8,0,1,0
19.02,5,1,14,0,0,0
56.89,4,1,18,0,3,0
50.83,19,0,1,1,3,0
95.67,0,0,9,1,2,0
100.81,17,1,9,0,3,0
4.64,14,0,2,0,3,0
46.94,22,0,16,1,2,0
98.31,9,1,4,1,0,0
69.94,2,1,13,0,1,1
194.13,4,0,17,0,0,1
107.5,23,0,11,1,0,0
17.79,12,0,2,1,2,0
7.32,7,1,4,1,0,1
102.84,21,1,12,1,3,0
2.69,20,0,2,1,0,0
88.13,1,0,1,0,0,0
281.73,8,0,6,1,2,0
85.68,16,0,16,0,2,0
49.13,17,0,2,1,1,0
103.08,12,0,14,1,3,0
61.3,0,0,12,1,3,0
78.88,11,0,19,1,1,0
283.81,19,0,3,0,1,0
48.79,19,0,19,1,2,0
324.91,20,0,11,1,1,0
235.76,4,0,4,1,0,0
21.79,7,0,17,0,1,0
7.19,14,1,17,1,0,0
10.62,2,0,7,1,1,0
1.84,5,0,5,0,2,0
9.92,12,0,19,1,3,0
114.89,11,1,19,0,0,1
7.38,18,0,9,0,3,0
38.42,17,0,17,1,0,0
186.35,23,0,9,1,3,0
2.35,0,0,14,0,2,0
168.45,6,1,5,1,0,0
33.11,11,1,2,1,1,0
12.58,9,0,15,0,2,0
119.32,11,0,16,0,3,0
99.14,10,0,19,1,0,0
209.94,3,0,1,1,2,0
132.83,18,1,12,1,3,0
162.7,5,1,19,1,0,0
33.13,8,0,15,0,0,0
19.53,19,0,5,1,2,0
138.88,9,0,1,1,3,0
164.42,4,0,11,1,3,0
465.7,12,0,9,0,0,0
53.21,8,0,7,0,3,0
46.52,1,0,2,1,1,0
